PID,Age,Gender
BG0002,31,M
BG0003,29,M
BG001,24,F
BG0014,23,F
BG0019,34,M
BG0020,31,M
BG0021,33,M
BG0022,21,M
BG04,21,M
BG05,35,F
BG06,20,F
BG07,41,F
BG08,27,F
BG09,23,F
BG10,21,F
BG11,44,F
BG12,36,F
BG13,38,M
BG15,27,M
BG17,31,M
BG18,24,M
BH0002,25,F
BH0003,64,F
BH0004,19,M
BH0005,28,F
BH0006,26,F
BH0008,28,M
BH0009,42,F
BH0010,26,F
BH0011,27,F
BH0012,43,M
BH0014,23,F
BH0015,25,F
BH0016,28,M
BH0018,21,F
BH0019,27,F
BH0020,21,M
BH0021,33,F
BH0022,47,F
BH0023,19,F
BH0024,22,M
BH0025,24,M
BH0026,37,F
BH0027,46,F
BH0029,46,M
BH0030,33,F
BH0031,24,F
BH0032,48,M
BH0033,59,M
BH0034,27,F
BH0035,24,F
BH0036,29,F
BH0037,50,F
BH0038,22,F
BH0039,42,F
BH0040,30,F
BI0001,22,M
